row_id,food_category,food_department,food_family,store_sales(in millions),store_cost(in millions),unit_sales(in millions),promotion_name,sales_country,marital_status,gender,total_children,education,member_card,occupation,houseowner,avg_cars_at home(approx),avg. yearly_income,num_children_at_home,avg_cars_at home(approx).1,brand_name,SRP,gross_weight,net_weight,recyclable_package,low_fat,units_per_case,store_type,store_city,store_state,store_sqft,grocery_sqft,frozen_sqft,meat_sqft,coffee_bar,video_store,salad_bar,prepared_food,florist,media_type,cost
1,Bathroom Products,Health and Hygiene,Non-Consumable,4.35,1.3485,3,Double Down Sale,Canada,M,F,2,High School Degree,Bronze,Professional,Y,2,$110K - $130K,1,2,Steady,1.45,9.65,7.64,1,0,14,Deluxe Supermarket,Vancouver,BC,23112,16418,4016,2678,1,1,1,1,1,Cash Register Handout,142.71
2,Fruit,Produce,Food,5.58,1.8414,3,Shelf Clearing Days,USA,S,F,4,High School Degree,Bronze,Professional,Y,2,$130K - $150K,0,2,Ebony,1.86,18.4,17.3,0,1,9,Supermarket,Seattle,WA,21215,13305,4746,3164,1,0,0,0,0,Radio,99.77
3,Beer and Wine,Alcoholic Beverages,Drink,5.1,2.142,3,Two Day Sale,Mexico,S,F,2,Graduate Degree,Bronze,Professional,Y,2,$70K - $90K,0,2,Portsmouth,1.7,11.2,9.19,1,0,28,Deluxe Supermarket,Merida,Yucatan,30797,20141,6393,4262,1,1,1,1,1,Product Attachment,76.88
4,Fruit,Canned Products,Food,4.2,2.058,3,Cash Register Lottery,USA,S,F,2,Partial High School,Normal,Skilled Manual,Y,1,$10K - $30K,0,1,Toucan,1.4,17.9,15.8,1,1,32,Deluxe Supermarket,Salem,OR,27694,18670,5415,3610,1,1,1,1,1,"Daily Paper, Radio, TV",55.59
5,Paper Products,Household,Non-Consumable,10.35,3.519,3,One Day Sale,Mexico,S,F,5,High School Degree,Bronze,Professional,Y,3,$90K - $110K,0,3,Denny,3.45,18.6,16.6,1,0,15,Mid-Size Grocery,Hidalgo,Zacatecas,38382,30351,4819,3213,0,0,0,0,0,Street Handout,146.72
6,Snack Foods,Snack Foods,Food,6.36,2.7348,4,Shelf Clearing Days,USA,S,M,0,Bachelors Degree,Golden,Professional,Y,3,$50K - $70K,0,3,Horatio,1.59,6.18,4.17,1,1,30,Supermarket,Bremerton,WA,39696,24390,9184,6122,0,0,1,1,0,In-Store Coupon,109.21
7,Kitchen Products,Household,Non-Consumable,3.65,1.095,5,Pick Your Savings,USA,M,F,2,Partial College,Bronze,Clerical,Y,2,$30K - $50K,2,2,Red Wing,0.73,14,12,0,0,24,Supermarket,Seattle,WA,21215,13305,4746,3164,1,0,0,0,0,In-Store Coupon,83.51
8,Baking Goods,Baking Goods,Food,2.32,1.16,2,Savings Galore,USA,M,F,2,Partial High School,Normal,Skilled Manual,N,1,$10K - $30K,2,1,CDR,1.16,15.3,13.3,0,0,32,Supermarket,Seattle,WA,21215,13305,4746,3164,1,0,0,0,0,Street Handout,138.53
9,Vegetables,Produce,Food,2.43,1.0449,3,I Cant Believe It Sale,USA,M,M,0,High School Degree,Normal,Skilled Manual,N,1,$10K - $30K,0,1,Tri-State,0.81,6.63,5.63,1,0,21,Deluxe Supermarket,Salem,OR,27694,18670,5415,3610,1,1,1,1,1,Product Attachment,69.47
10,Frozen Desserts,Frozen Foods,Food,1.53,0.5049,3,High Roller Savings,USA,M,F,4,Partial High School,Normal,Manual,Y,2,$10K - $30K,4,2,Big Time,0.51,8.25,7.25,1,1,33,Deluxe Supermarket,Salem,OR,27694,18670,5415,3610,1,1,1,1,1,"Daily Paper, Radio",84.16
